eastasia,115.9985860188802
southeastasia,111.33591334025066
australiacentral,185.65734227498373
australiacentral2,186.01417541503906
australiaeast,180.7842254638672
australiasoutheast,182.77716636657715
brazilsouth,332.43592580159503
brazilsoutheast,372.1211751302083
canadacentral,214.04131253560385
northeurope,276.7391999562581
westeurope,261.5955670674642
francecentral,253.43147913614908
francesouth,252.93405850728354
germanywestcentral,281.0796896616618
centralindia,5000.0
southindia,121.96516990661621
japaneast,85.95609664916992
japanwest,71.30273183186848
koreacentral,89.86345926920573
norwayeast,276.50825182596844
norwaywest,273.5138734181722
qatarcentral,219.19838587443033
southafricanorth,398.03751309712726
switzerlandnorth,253.71559460957846
switzerlandwest,250.61933199564615
uaenorth,5000.0
uksouth,255.94258308410645
ukwest,258.70641072591144
centralus,199.0839640299479
eastus,219.0984090169271
eastus2,238.5099728902181
northcentralus,246.98948860168457
southcentralus,186.38189633687338
westus,159.35381253560385
westus2,159.04990832010904
westus3,5000.0
